T,B
0.465,15
0.466,32
0.467,26
0.468,3
0.469,12
0.47,28
0.471,29
0.472,18
0.473,9
0.474,31
0.475,20
0.476,1
0.477,16
0.478,24
0.479,10
0.48,23
0.481,8
0.482,11
0.483,36
0.484,27
0.485,6
0.486,17
0.487,25
0.488,2
0.489,4
0.49,19
0.491,32
0.492,0
0.493,3
0.494,35
0.495,12
0.496,7
0.497,29
0.498,22
0.499,9
0.5,31
0.501,20
0.502,1
0.503,16
0.504,24
0.505,5
0.506,23
0.507,8
0.508,30
0.509,36
0.51,13
0.511,27
0.512,16
0.513,14
0.514,2
0.515,0
0.516,4
0.517,15
0.518,23
0.519,0
0.52,3
0.521,35
0.522,12
0.523,7
0.524,29
0.525,18
0.526,9
0.527,31
0.528,14
0.529,1
0.53,33
0.531,16
0.532,5
0.533,10
0.534,23
0.535,8
0.536,11
0.537,36
0.538,13
0.539,6
0.54,34
0.541,17
0.542,25
0.543,21
0.544,4
0.545,19
0.546,32
0.547,0
0.548,26
0.549,3
0.55,12
0.551,28
0.552,7
0.553,29
0.554,22
0.555,9
0.556,31
0.557,14
0.558,1
0.559,33
0.56,16
0.561,24
0.562,10
0.563,23
0.564,8
0.565,30
0.566,36
0.567,13
0.568,27
0.569,6
0.57,34
0.571,25
0.572,2
0.573,21
0.574,4
0.575,15
0.576,32
0.577,0
0.578,26
0.579,3
0.58,12
0.581,28
0.582,7
0.583,29
0.584,18
0.585,22
0.586,31
0.587,14
0.588,20
0.589,1
0.59,33
0.591,24
0.592,5
0.593,10
0.594,23
0.595,8
0.596,30
0.597,36
0.598,13
0.599,27
0.6,6
0.601,34
0.602,17
0.603,25
0.604,21
0.605,4
0.606,19
0.607,15
0.608,32
0.609,0
0.61,26
0.611,3
0.612,12
0.613,28
0.614,7
0.615,29
0.616,18
0.617,22
0.618,9
0.619,31
0.62,20
0.621,1
0.622,33
0.623,16
0.624,24
0.625,5
0.626,10
0.627,23
0.628,8
0.629,30
0.63,11
0.631,13
0.632,27
0.633,6
0.634,34
0.635,17
0.636,25
0.637,2
0.638,21
0.639,4
0.64,19
0.641,15
0.642,32
0.643,0
0.644,26
0.645,35
0.646,12
0.647,28
0.648,7
0.649,29
0.65,18
0.651,22
0.652,9
0.653,31
0.654,14
0.655,20
0.656,1
0.657,33
0.658,16
0.659,24
0.66,5
0.661,10
0.662,23
0.663,8
0.664,30
0.665,11
0.666,36
0.667,13
0.668,27
0.669,6
0.67,34
0.671,17
0.672,25
0.673,2
0.674,21
0.675,4
0.676,19
0.677,15
0.678,32
0.679,0
0.68,26
0.681,3
0.682,35
0.683,12
0.684,28
0.685,7
0.686,29
0.687,18
0.688,22
0.689,9
0.69,31
0.691,14
0.692,20
0.693,1
0.694,33
0.695,16
0.696,24
0.697,5
0.698,10
0.699,23
0.7,8
0.701,30
0.702,30
0.703,11
0.704,36
0.705,13
0.706,27
0.707,6
0.708,34
0.709,17
0.71,25
0.711,2
0.712,21
0.713,4
0.714,19
0.715,15
0.716,32
0.717,32
0.718,0
0.719,26
0.72,3
0.721,35
0.722,12
0.723,28
0.724,7
0.725,29
0.726,18
0.727,22
0.728,22
0.729,9
0.73,31
0.731,14
0.732,20
0.733,1
0.734,33
0.735,16
0.736,24
0.737,5
0.738,5
0.739,10
0.74,23
0.741,8
0.742,30
0.743,11
0.744,36
0.745,13
0.746,13
0.747,27
0.748,6
0.749,34
